#word,meaning,option1,option2,option3
略图,outline,outlive,outside,routine
校长,headmaster,secretary of state,Zhou Enlai,head of an institute, etc.
航天飞船,spaceship,amortize,lumpish,broom
旋转,spin,ruin,pin,skein
高尔夫球,golf,gaff,folk,wold
犹太人的,jewish,wringer,jilt,decrepit
使沮丧,depress,repress,oppress,cypress
进展,advance,dance,advice,askance
包,bundle,curdle,fondle,fuddle
干涉,interference,to deny ,to deny,attack 
转换,shift,shirt,shout,sift
奶油色,cream,clean,cram,ream
谣传,rumour,armour,humour,tumour
运动,mobile,morale,cobble,docile
稀有,rare,rage,wake,mace
释放,discharge,to hear ,to capture,seize
分叉,fork,work,ford,fop
显示,display,splay,mislay,displace
根,root,roof,booty,robot
盥洗室,lavatory,classroom,lavatory,box 
平常,ordinary,urinary,ordinal,inferior
短途旅行,excursion,exclusion,expulsion,incursion
子弹,bullet,billet,sullen,sublet
地点,spot,spy,soot,tot
单独,solely,each,at every step,alternately
线带,tape,type,sage,taper
说,utter,butter,alter,voter
气氛,atmosphere,dreamland,way of life,factor
关于,concerning,depend on,to substitute for,be just like
纺织,weave,heave,weaver,serve
不幸,unfortunately,break out,dodge a pit only to fall into a well,unfavorable
小房间,cell,dwell,fell,cello
毫米,millimetre,millilitre,centimeter,kilometer
堆积,accumulate,to extend ,to line up,array
士兵,soldier,solder,holder,collier
分部,branch,brunch,blanch,trench
园丁,gardener,garner,garden,a teacher in charge of a class
收割,reap,zap,gap,gear
海的,marine,mariner,maize,main
抓住,seize,size,senile,shire
占有物,possession,possessive,obsession,guest
电子,electron,election,elector,selection
孩子,childish,cowry,twin,only son
绊倒,stumble,stable,tumble,stubble
信仰,faith,pith,laity,wait
最初,primary,primer,primacy,primate
分数,fraction,traction,fiction,inaction
题词,heading,supplement,pictorial ,weekly publication
胡椒,pepper,pester,peppery,helper
缺点,fault,taut,gaunt,faulty
后者,latter,fitter,matter,tatter
消除,eliminate,brush,to sweep away,extinguish
压榨,squeeze,sneeze,exploit,extort under false pretences
奖学金,scholarship,loan,deposit,circulation
刺,stab,snap,sham,jab
存在,existence,hand down ,supply and demand,get along 
成功,succeed,success,screed,not do one's best
机车,engine,engineer,angina,entice
增加,increase,incense,crease,decrease
几乎,practically,only,fortunately,still
可接受的,acceptable,acceptance,abandoned idea,conspirator
老于世故,sophisticated,have neither learning nor skill,hopeless,dabbler
澄清,clarify,clarity,glorify,clarion
硕士,master,matter,sister,castor
东北,northeast,southeast,northwest,Australia 
礼节,ceremony,hegemony,to be used to,baptism
管道,pipeline,sideline,dwelling,flight
轰炸,bomb,womb,job,bob
良心,conscience,perception,grief,core
高处,altitude,aptitude,attitude,latitude
最远,utmost,almost,outpost,inmost
火,blaze,lake,blare,blame
矿石,ore,slate,pegmatite,limestone
颠倒,reverse,averse,reverie,revenge
对照,contrast,contralto,contest,contract
压抑,oppress,express,suppress,impress
调查,investigation,investigate,to prohibit,track down 
计算器,calculator,calculate,router,memory 
发生,happen,harden,haven,append
尤其,particularly,the most,at best,excessive
使适应,adapt,adept,apt,await
强调,emphasize,emphasis,report ,report  to the police
反而,instead,instep,stead,intend
欢迎,welcome,become,be perfidious,to fulfill
压紧,compress,compass,comprise,empress
圣诞节,Christmas,Christian,Mother's Day,Christmas season
创立,found,to run a school,set up in a particular location,denominant
低声地讲,whisper,whopper,whimper,whisker
看法,opinion,pinion,dominion,onion
使熟,ripen,repent,ripe,mien
肥料,fertilizer,fertilize,diamond,deep-fried pancake
二月,February,month,eighth month,July
副词,adverb,aver,adverse,adhere
碗,bowl,doll,fool,boil
才智,wit,din,but,city
强制,enforce,encore,reinforce,endorse
梦想,dream,roam,steam,area
说服,persuade,pervade,compromise,to make peace
成就,success,successor,succeed,access
不足,insufficient,loss,dynamic equilibrium,insufficient
大学肆业生,undergraduate,festivity,deviation,calibre
解放,liberation,vibration,iteration,make a stand and fight 
按,press,empress,brass,prose
要求,requirement,to yearn for,woo,desire
极度,terrible,horrible,to move forward a single step,suffering
宝石,jewel,level,repel,bowel
经营,management,be in charge of,state-run,take over
威胁,threaten,threat,to menace,entice
满足,satisfy,satiety,ratify,supply
罪犯,criminal,critical,original,funicular
挑战,challenge,come to blows,fight with one's back to the river - fight to win or die,review 
轻微,slight,light,alight,sight
会话,conversation,speak out of turn,a long talk,pour
轻拍,pat,yet,mat,feat
翎毛,feather,weather,leather,further
在前,preceding,precedent,publish ,to preserve
危机,crisis,cress,cross,crisp
读物,reader,leader,reaper,beaker
钟声,bell,ball,elm,peel
毯子,blanket,banker,blank,basket
可能,feasible,sensible,not in the least,insufficient
不列颠的,British,raise,genetic,wonder
渠道,channel,chance,flannel,cancel
温和,moderate,modulate,operate,macerate
不真实的,false,fade,else,lapse
轻轻,lightly,nightly,eighty,lighter
使快活,brighten,bright,frighten,heighten
钩住,hook,hone,hoop,hod
骚动,turbulent,purulent,bide one's time,peace and happiness
膝盖,knee,net,one,ken
犁,plough,slough,plush,pouch
盛宴,feast,fast,yeast,east
湖滩,beach,each,bleach,bench
意义,significance,clues,concept,system
软毛,fur,sup,cup,cur
候选人,candidate,supporter,serf,voter
私人,private,probate,primate,prate
延误,delay,splay,deal,dolly
胡罗卜,carrot,arrow,parrot,carton
最后,finally,to experience,history,result
切开,carve,cure,curve,cave
警报器,horn,town,word,ion
占满,fill,film,jilt,dull
无论如何,anyway,byway,noway,away
组织,organize,organism,reorganize,organist
方式,mode,mope,more,hone
加拿大的,Canadian,large,tenth,trust
准备好的,ready,tread,lead,greedy
将来,future,suture,mature,nature
海港,harbour,arbour,ardour,armour
以…为条件,provided,discrete,pugnacious,marksman
学术上的,learned,copper,candidate,coach
相当大的,handsome,satirist,socket,neologism
了解,acquaintance,to submit ,to probe,to deny 
花,bloom,broom,boom,zoom
交流,exchange,change,to come and go,membership
八月,August,gust,august,October
支撑,sustain,stain,abstain,curtain
完成,accomplish,accomplice,tarry,carry out
关于,regarding,as far as  is concerned,handle,because
赞成,approval,approve,confidence,suspicion
灰色,gray,fray,oral,gay
打断,interrupt,intercept,traffic jam,license 
判决,sentence,sequence,penitence,reprimand
丰富,plentiful,appreciate,concentrate,to grow in number
侦察,detect,defect,detach,reject
登记,register,registrar,registry,schedule in advance
缺乏,scarce,scare,source,scarf
蓄水池,reservior,snare,revetment,embankment
容易,facility,acidity,fatality,faculty
公债,bond,bend,blond,send
深度,depth,depute,death,tenth
草地,meadow,mead,shadow,endow
模仿,imitate,agitate,imitative,militate
接待,receive,received,deceive,receiver
缺少,shortage,shortwave,storage,portage
毛巾,towel,novel,trowel,bowel
器械,apparatus,nuclear arms,rough bamboo mat,biological weapon 
个别,separate,separable,order,to be forced to
开花,blossom,bosom,bloom,lame
大篷车,van,man,main,oak
失败,loss,loose,bosh,hose
当局,authority,authorize,rash,regime
运费,freight,eight,foresight,fight
过多,excessive,expensive,exclusive,expressive
结果,consequence,stammer,decompose,lame
催促,hasten,chasten,haste,fasten
早,early,rally,yearly,surly
漏洞,leak,law,weak,dead
颜色,color,motor,cold,polar
值得花时间的,worthwhile,canister,deodorize,snowstorm
损害,injure,inquire,inure,abjure
激烈,keen,kneel,keep,keel
蛋白质,protein,protest,proton,protect
不见,disappear,vanquish,catch fire,be missing
塞子,tap,pap,team,carp
邮票,stamp,stain,state,stump
弯管,elbow,low,below,glow
日记,diary,vary,dinky,dirk
决心,determination,tranquil,thirsting or hungering for sth.,urgent
使混乱,confuse,confute,contuse,confide
悲痛,sadly,great celebration,pain,distressed
极好,immense,immerse,intense,incense
电话,telephone,telephoto,firing pin,wireless
好斗,aggressive,aggression,mobile,outrage
水平,horizontal,foundation,quality,Normal 
牛肉,beef,reef,peek,beta
热带,tropical,topical,tropic,typical
东方,eastern,astern,easter,cistern
重述,retell,repel,retail,reel
外观,appearance,marvel,good looking,meteorology
珍贵,precious,previous,precis,precocious
悲哀,sorrow,furrow,borrow,sparrow
大量,heavily,heavy,easily,heavenly
稀奇古怪,curious,furious,dubious,various
脱掉,remove,resolve,revolve,move
请求,beg,bag,beef,jog
操作人员,operator,orator,operation,operate
分,penny,penal,pen,puny
化学,chemistry,chemist,emerald,diamond
形成,form,norm,fog,fool
争论,dispute,disuse,despite,depute
体贴,thoughtful,apprehensions,forgiveness,take note of
日常,routine,route,outline,high-ranking
救济,relieve,relief,believe,retrieve
阿拉伯的,Arabian,deluxe,apply,cutthroat
雷,thunder,plunder,blunder,launder
解开,undo,ado,endow,ufo
命运,fatal,vital,total,foal
寒冷,chill,skill,child,chide
绝对,absolutely,outcome,still,might as well
举止,conduct,connect,conductor,concoct
伞,umbrella,fan,necklace,parachute
画,draw,gram,paw,drab
校样,proof,droop,prove,spoof
裂缝,slit,swot,spit,sit
香味,perfume,perfumer,peruse,perjure
重新获得,recover,receiver,recovery,recorder
通道,access,excess,recess,chess
技术员,technician,technical,technician,layman
及时,prompt,promote,pomp,romp
交易,trade,prate,tribe,grade
施行手术,operate,pirate,prate,tolerate
真正,truly,actually,approximately,although
部件,unit,fit,ant,nut
升,liter,sheet,urinary,numb
众所周知,well-known,faint,unofficial,feasible
理解,comprehension,to know,to see through,consciousness
胶卷,film,fill,ail,nil
唤醒,wake,awaken,sake,dike
铺设,lay,lacy,say,lady
醉的,drunk,blazer,wretch,comity
抚养,rear,year,near,deal
消化,digest,diet,digress,divest
政治家,politician,political,pianist,name of a Chinese writer and poet, Guo Moruo
发射,transmission,make-up examination,to review,to attend school
使循环,circulate,circular,calculate,prude
专门小组,panel,pander,peel,cancel
加工粗糙,rude,pride,mud,ridge
溶液,liquor,liquid,liqueur,foam
建议,suggestion,suggestive,shout,discussion
观众,audience,ambience,ranks,user
鹰,eagle,edge,ease,cage
磁的,magnetic,magnetize,magnesia,magnet
使增加,multiply,multiple,soundtrack,autocrat
胸,bosom,boom,boot,boon
托儿所,nursery,purser,cursory,nurse
更远,further,farther,father,feather
尖的,acute,ace,auto,cute
得益,profit,prompt,profile,probity
总的,gross,groom,cross,grassy
才能,faculty,faulty,acuity,facility
强壮,strongly,male and female,powerless,female
踵,heel,heal,bell,hotel
萝卜,turnip,turbid,turning,turner
谴责,condemn,condom,concern,accept responsibility 
文学,literary,literacy,literate,library
拳,fist,fusty,fish,pit
发热,fever,fete,beer,lever
程序,program,programme,authorized strength,framework
毛毯,rug,rig,fur,rap
分布,distribution,be classified as,list,to extend 
把…分类,classify,classic,clarify,classy
管,tube,lobe,lute,tome
环,loop,cook,loom,lop
骨,bone,once,lone,doe
绘画,painting,portrait,revise,line drawing in traditional ink and brush style
冰冻,frost,rest,fret,froth
先前,previously,since ,tomorrow,tonight
数字,figure,figured,failure,inure
拉丁,Latin,Central Europe,abbreviation,collectively called
发红,flush,slush,plush,flash
舌,tongue,torque,tongs,rogue
大陆,mainland,inland,mainline,tropic
吵架,quarrel,squirrel,quarter,quartet
理解,understanding,forget,proficient,to know well
博览会,fair,fall,laird,far
陆军上尉,captain,capstan,curtain,certain
原木,log,jog,lag,smog
羞耻,shame,tame,shade,shore
词首,initial,inimical,instil,initially
总的,total,moral,tonal,tool
有节制的,modest,molest,modesty,moist
很可能,likely,timely,lively,finely
对估价,assess,access,asset,assent
消防队员,fireman,foreman,lineman,negotiate
使窒息,choke,chore,cloze,evoke
机械,mechanic,mechanics,mechanism,mechanize
复数,plural,aural,rural,mural
水平面,level,feel,bevel,sever
猫头鹰,owl,awn,own,owe
蛙,frog,fog,prod,rag
嗓音,throat,trot,throaty,thrift
厨房,kitchen,pitcher,ditcher,kitten
经常,constant,constancy,constraint,consent
突然,overnight,overweight,oversight,could it be
揭露,expose,espouse,impose,explode
短袜,sock,pock,rock,mock
生锈,rust,most,rush,rusk
电报,telegraph,telegraphy,telegram,ordinary mail 
雕像,statue,stable,skate,state
代理,agency,agony,agenda,agent
训练,educate,emulate,equate,dedicate
呼吸,breathe,wreathe,breath,breach
老鼠,rat,day,cat,ant
娶,marry,parry,harry,army
道路,path,at,pawn,pants
绊倒,trip,quip,trump,rip
风土,climate,climatic,cremate,celibate
比较,comparative,heel,in the light of,in order to
十二月,December,remember,eleventh month,July
使劲关,slam,stamp,slap,seam
首席,chief,chick,chisel,chide
缝纫,sew,tea,let,den
砂糖结晶,candy,handy,bandy,sandy
长处,merit,metric,permit,meet
外边,outskirt,paradise,Summer Palace ,outside  borders
楼上,upstairs,upstart,above-mentioned,downstairs
得到,obtain,contain,abstain,detain
鼠,mouse,misuse,fuse,muse
驯服,tame,task,gate,taxi
间隔,interval,internal,infernal,integral
隐蔽处,shelter,swelter,helper,shelve
比作,compare,compile,compere,company
学说,theory,theirs,thorn,there
组织,tissue,tussle,fissure,issue
力,power,tower,blower,powder
提醒,remind,remand,rein,refine
保留,retain,restrain,remain,stain
投递,deliver,delivery,diver,derive
继任,succession,successor,successive,accession
铲,spade,spate,spark,safe
跟踪,trace,tirade,trance,truce
入侵,invasion,evasion,envision,inversion
需要,require,retire,requite,respire
管理,manage,magnate,mirage,garage
美德,virtue,virile,virus,virtual
喷,puff,duff,huff,gulf
盯,gaze,gale,pale,gape
紧密,closely,antagonis,trouble,keep sb at arm's length
也许,possibly,possible,cannot go so far,could it be
醒着,awake,away,wake,aware
计划,scheme,chime,schema,scene
外部,outside,outsider,outline,subside
尊敬,honour,feel wronged,venerable,grumble
宿舍,dormitory,castle,suite,decorated archway
民主,democracy,democrat,impartial,revolution
令人不快,unpleasant,pleasant,admire,patriotic
巨物,giant,gnat,goat,grand
劫掠,rob,mob,hobo,woo
火柴,match,watch,latch,maths
电冰箱,fridge,grudge,bridge,midge
围巾,scarf,snare,scarce,calf
扎牢,fasten,flatten,hasten,astern
坟墓,grave,shave,save,gravel
广告,advertisement,poster,label,to report
空闲时间,leisure,measure,leisurely,leisured
治愈,cure,crew,curly,cute
重复,echo,ego,ache,etch
障碍物,hedge,budge,wedge,edge
压力,pressure,treasure,reassure,pleasure
晶体管,transistor,transitory,wire,radar
拉,pull,lull,full,pole
宇宙,universe,unversed,universal,diverse
相称,proportional,be suitable,preceded only by...,to  be in line with
旋转,turning,turbine,burning,during
系,attach,attache,attack,attic
辨别,distinguish,to know what's what,to distinguish,inference
具体物,concrete,concede,contrite,mint
辞职,resignation,enlist,assume ,retirement 
大胆,bold,gold,bosh,scold
侦察,detection,detention,detector,deduction
纯粹,purely,purvey,purple,prey
冒昧,familiar,neglect,superficial,impertinent
排除,elimination,surmount,perish,wash
卫兵,guard,hoard,ward,board
舔吃,lick,lift,lack,click
看,view,vine,veer,pier
刀,knife,snipe,knave,nine
向前,forward,forewarn,forearm,coward
优美,graceful,peaceful,grateful,shabby
基金,fund,tend,undo,feed
障碍物,interruption,prey,metal,medium
领导,leadership,Defense Minister,Jiang Zemin ,secretary of state
蜘蛛,spider,rider,spire,spike
空中小姐,stewardess,barber,clerk,broker
部门,section,reaction,sedition,suction
伙伴,mate,more,mama,maw
非正义的,unjust,adjust,uncut,just
代理人,agent,abend,ant,accent
伸,stretch,stitch,stench,stretcher
病人,patient,parent,paint,patent
获得,attain,obtain,stain,attack
上船,aboard,board,beard,boar
照相机,camera,camber,cameo,cavern
郊外,suburb,auburn,sunburn,suture
炙,roast,coast,yeast,toast
有毒,poisonous,poison,white arsenic,heroin
沾污,stain,skin,stair,sprain
基础,fundamental,marginal,restrict at,level
合成,synthetic,synthesis,compound,assign
下雨,rainy,ray,saint,raise
女演员,actress,access,address,waitress
吞下,swallow,hallow,allow,fallow
总而言之,altogether,together,assertion,private discussion
摇,rock,rot,pock,role
瑞士人,Swiss,Mexican,Japanese person or people,person from Beijing
阻止,arrest,wrest,garret,unrest
反馈,feedback,make a supplementary report,to sign ,report the loss to the authorities concerned
确实,indeed,inbred,indebted,misdeed
消逝,glide,line,elite,alike
部长,minister,sinister,administer,mister
龌龊,nasty,lusty,taste,dusty
输入,import,impart,report,implore
不正确的,incorrect,correct,a slip of a pen,garble a statement, etc.
平均值,mean,moan,wean,sea
爆炸,explosive,expensive,expansive,exclusive
专门,specially,specialty,speciality,special
宿舍,dorm,dam,dolt,foam
骚乱,confusion,concussion,infusion,collusion
粗糙,roughly,superficial,simple and unadorned,organ
基本上,basically,appropriate,totally,half
设计,devise,device,devil,revise
珍珠母,pearl,peal,early,spear
包,package,passage,curl,stroke 
忠诚,loyalty,royalty,locality,loyal
陆军上校,colonel,colored,coroner,colony
相隔很远,remote,denote,demote,recite
蠢人,fool,door,tool,coil
花费不多,inexpensive,sunset,ebb,with a wavy motion 
占用,possess,assess,hostess,obsess
动机,motive,significance,opinion,local flavor
十分,completely,to enjoy ,torture,at most
脚爪,paw,par,ram,pang
故事,tale,hare,lace,table
焊接,weld,wild,pelt,end
粉状物质,flour,flu,flop,flyer
辅助,auxiliary,express sympathy, greetings, consolation, etc.,subsidy,appease
自行车,cycle,cyclone,circle,bicycle
核心,nuclear,clear,nucleus,in high spirits
负载,load,soap,glad,loll
词汇表,vocabulary,solemnize,region,dagger
梨子,pear,near,tea,spar
主要,mainly,to assist,extremely,invaluable
切细,chop,cop,crop,chirp
孙子,grandson,grandson ,nephew,the earliest ancestor
协调,harmony,hormone,minute,omit
肝脏,liver,divert,river,flier
发射物,missile,massive,missive,misrule
四个,four,blur,flux,flout
舒适,comfortable,to intend,conspiracy,comfort
冲击,impact,impeach,intact,compact
面颊,cheek,cheer,cheat,cheeky
缺掉,missing,issue,derivative,extinguish
想象,imagination,think of a way ,to wrack one's brains,deliberation
公式,formula,formal,formulate,form
出人意外,surprising,can it be possible that,never ,guarantee
面积,dimension,diversion,dissension,size
归咎于,accuse,excuse,accede,accrue
减少,reduce,resume,adduce,seduce
啜泣,sob,bow,boa,soft
提灯,lantern,pattern,intern,later
女英雄,heroine,heron,heroism,heroin
在下面,underneath,paucity,apocryphal,soluble
德国,German,yeoman,Germany,seaman
皮艇,canoe,lane,cadre,cane
触,feel,deed,teem,fuel
尽管,although,though,whether,how 
感情,emotional,emotion,remote sensing,ache
宽度,width,birth,with,sixth
朴素,simply,simple,imply,dimple
滥用,abuse,amuse,abide,arise
尊敬,respect,inspect,repeat,suspect
球拍,racket,basket,jacket,packet
温度计,thermometer,compass,board,standard
哑的,dumb,drab,tub,jamb
集合,assembly,assemble,assembler,to collect
支付,payment,lament,pigment,garment
羽毛球,badminton,hockey,golf,touch ball
跟踪,trail,frail,tract,trawl
分布广的,widespread,wingspread,endless,equilibrium
土语,dialect,dialectic,deflect,direct
实起,prominent,provident,proponent,prominence
踢,kick,rack,kiln,pink
药片,tablet,talent,table,target
婴儿,infant,infest,instant,intact
警告,warn,waken,yarn,barn
分子,molecule,tenant,committee member,communist party member
粒子,particle,article,participle,partial
流浪者,tramp,trap,scamp,trauma
音乐会,concert,consent,content,concept
锤,hammer,pamper,damper,hawser
学者,scholar,scholarly,solar,producer
腐烂,rotten,often,soften,batten
投,throw,brow,arrow,throes
勤勉,diligent,idle,myopia,off and on
长,length,zenith,lengthy,tenth
后嗣,heir,his,hen,fair
雷达,radar,cedar,rider,wader
斑马,zebra,bra,terra,umbra
摇动,shake,shade,shoe,shark
住处,residence,residency,resident,evidence
最主要的,leading,embark,truncate,arrival
积极,active,octave,captive,inactive
出身,origin,original,ordain,rigid
趋势,tendency,tenancy,disadvantaged,balance of power
捕获,capture,rupture,rapture,nature
分离,separation,reparation,leave one's native place ,to say good-bye to
计算,calculate,calculator,circulate,take rough measurements 
倾斜,lean,lest,tan,jean
黄瓜,cucumber,encumber,tomato,pumpkin
费,fee,leek,fen,feat
浸泡,soak,sock,sick,son
概要,summary,summer,summat,leading principles
